序號,資料產製時間,常用搜尋關鍵字,網址,Y座標(WGS84),X座標(WGS84),開放時間,開車及搭乘大眾運輸文字描述,三碼郵遞區號,景點(或景區)地址,景點(或景區)服務電話(國碼-區碼-電話號碼),Description景點(或景區)特色精簡版文字簡述,景點(或景區)特色詳細文字簡述,景點(或景區)中文名稱,FB ID
1,2016/04/29 17:13:48,八里,,25.15887,121.43382,未提供,【大眾運輸】　1.搭乘捷運淡水線至淡水站，沿淡水老街步行至渡船頭搭乘渡輪至八里左岸碼頭　2.捷運關渡站轉紅13或2.紅22公車至渡船頭站下車步行即可抵達。　3.淡水河沿岸自行車步道前往，沿途有多處租借自行車的服務。　　【自行開車】　1.臺北→關渡大橋→龍形路→龍米路→八里渡船頭老街　2.中山高速公路→林口交流道→105線道→八里,249,新北市八里區龍米路2段200巷5號,886-2-26107105,位於八里渡船頭的大眾廟，是八里人的信仰中心，當地人稱呼大眾廟的主祀神為「大眾老爺」。本廟已有二百多年的歷史，與開臺天后宮都可見證八里坌開港的繁華時期。大眾廟在當地八里坌人的心中地位比媽祖廟有過之而無不及。,位於八里渡船頭的大眾廟，是八里人的信仰中心，當地人稱呼大眾廟的主祀神為「大眾老爺」。本廟已有二百多年的歷史，與開臺天后宮都可見證八里坌開港的繁華時期。大眾廟在當地八里坌人的心中地位比媽祖廟有過之而無不及。,(八里)大眾廟,197787480266962 
2,2016/04/29 17:15:04,八里,,25.14362,121.39665,未提供,【大眾運輸】　1.搭乘捷運淡水線於淡水站下車→ 於轉渡船口(搭渡輪)→至八里→沿北50線→登山步道，即可到達　2.從臺北北門塔城街搭往八里聯營704路公車(三重客運)，在土地公廟站下車。　　【自行開車】　1.國道一號：由林口交流道下→ 經林口竹林寺→ 醒吾商專、粉寮路→至八里民義路(或凌雲路)，即可到達　2.國道一號：由五股交流道下 → 往五股、八里方向行駛,249,249新北市八里區訊塘村5鄰訊塘埔31之3號,886-2-26212131,廖添丁廟原為關公廟，光復後，鄉民重建關公廟，因感廖添丁義行與關公正義相同，因此將廖添丁入祀關公廟，並且改名漢民祠，鄉民習慣以「廖添丁廟」來稱呼，所以該廟反倒以此而聞名。廟旁的添丁公園花木扶疏，為居民運動休閒的處所。,廖添丁劫富濟貧的「義賊」形象深植人心，從樑上君子變成家喻戶曉的傳奇人物，其公然挑戰當時統治臺灣的日本權威，是最為人所津津樂道的事蹟，曾是許多說書人與電視劇的故事題材。 廖添丁廟原為關公廟，光復後，鄉民重建關公廟，因感廖添丁義行與關公正義相同，因此將廖添丁入祀關公廟，並且改名漢民祠，鄉民習慣以「廖添丁廟」來稱呼，所以該廟反倒以此而聞名。廟旁的添丁公園花木扶疏，為居民運動休閒的處所。,(八里)廖添丁廟(漢民祠),503926569674625 
3,2016/04/29 17:08:56,八里,,25.14349,121.43226,週末六、日 6:00-18:00,【大眾運輸】　1.捷運淡水線關渡站下車→乘坐紅13、紅22公車→至觀音路口下車→步行即可抵達。　　【自行開車】　1.沿臺15線到新北市八里區米倉國小附近，看到往牛寮埔王母娘娘宮的看板(停車場)，再往山上步行即可抵達。,249,新北市八里區米倉里牛寮埔12鄰16-5號,886-2-26102621,牛寮埔石頭公農園主要種植柑橘及文旦柚，目前以提供休閒採果為主。農園因為地處觀音山山麓，可以看到淡水河的出海口以及臺灣海峽，視野相當開闊，對岸淡水的景色也可以一覽無遺。果園距離八里左岸與十三行博物館約15分鐘車程，可從左岸坐渡輪至淡水老街，再轉搭捷運，交通便利。牛寮埔石頭公農園每年中秋節前夕為文旦柚產期，農曆新年前夕則為柑橘產期，皆開放遊客採果，歡迎於採果期闔家蒞臨。,牛寮埔石頭公農園主要種植柑橘及文旦柚，目前以提供休閒採果為主。農園因為地處觀音山山麓，可以看到淡水河的出海口以及臺灣海峽，視野相當開闊，對岸淡水的景色也可以一覽無遺。果園距離八里左岸與十三行博物館約15分鐘車程，可從左岸坐渡輪至淡水老街，再轉搭捷運，交通便利。 牛寮埔石頭公農園每年中秋節前夕為文旦柚產期，農曆新年前夕則為柑橘產期，皆開放遊客採果，歡迎於採果期闔家蒞臨。,(牛寮埔)石頭公農園,1388458804742850 
4,2016/04/29 17:32:06,八里,http://www.sdec.ntpc.edu.tw/,25.16072,121.43028,每週二~日上午9：30至下午17：00 週一及國定假日休館，全天不開放,【大眾運輸】　1.自臺北市塔城街搭704線路客運→ 西門站下車，步行前往。　2.自台北捷運關渡站前搭紅22線路客運→西門站下車，步行前往。　3.捷運淡水線關渡站前搭紅22線路客運→西門站下車，步行前往。　4.捷運淡水線淡水站 → 渡船 →左岸碼頭　　【自行開車】　1.國道1號下林口交流道，沿105線道經林口至八里→左岸碼頭→觀海大道　2.關渡大橋→台15線→,249,新北市八里區觀海大道36號,886-2-26100305,新北市永續環境教育中心(左岸會館)位於左岸公園內，是八里河左岸的中心點建築．到八里來，可以居高臨下，觀賞淡水河美景，也可到館內的資訊站看看下一站要到十三行看展覽還是到附近八里渡船頭老街玩透透，還有許多在地小吃，讓你有得玩又有得吃！當夕陽西下，給海面灑下了一層金黃，華燈初上的時分，新北市永續環境教育中心(左岸會館)也就成為觀賞夜景的最佳地點。,新北市永續環境教育中心(左岸會館)位於左岸公園內，是八里河左岸的中心點建築．到八里來，可以居高臨下，觀賞淡水河美景，也可到館內的資訊站看看下一站要到十三行看展覽還是到附近八里渡船頭老街玩透透，還有許多在地小吃，讓你有得玩又有得吃！當夕陽西下，給海面灑下了一層金黃，華燈初上的時分，新北市永續環境教育中心(左岸會館)也就成為觀賞夜景的最佳地點。,(新北市)永續環境教育中心,470476693058666 
5,2016/11/18 10:12:29,林口,https://www.mop.com.tw/linkou/tw/index.html,25.07108,121.36372,周一-周四 11:00~21:30、周五(包含假日前一日)11：00~22：00、周六~周日(包含假日) 10:30~22:00,鄰近桃園機場捷運 - 林口A9站 (預計2016年通車)　位處桃園國際機場與台北市中心的中樞位置，不論搭乘巴士或者捷運約40分鐘內輕鬆可到達。,244,新北市林口區文化三路一段356號,886-2-26068666,『MITSUI OUTLET PARK LINKOU』位於台北-桃園機場之間，交通便利，以悠閒渡假風格的「SOUTHERN TREASURE FOREST」概念打造，空間寬闊舒適，是您來台旅遊購物休閒的最佳選擇。 北台灣最大規模的複合式購物休閒設施，渡假中心般的寬敞空間，琳瑯滿目的精品名店，超優質的購物天堂絕對讓人流連忘返。嚴格挑選人氣美食進駐，款待饕客們的挑剔味蕾，同時設施內設有威秀影城、誠品生活、JASONS超市…多元完整的複合設施規劃，購物、美食、娛樂與生活一次到位，心滿意足。 台灣首座日本OUTLET PARK。打造獨家美食天堂 設施內精心嚴選2百多家知名歐美精品、台灣及日系人氣品牌，也進駐了台灣小籠包名店「點水樓」、知名台菜餐廳「欣葉小聚」等等，讓您在享受購物的快感之餘，還能享用台灣著名美食。 交通便利！！鄰近桃園機場捷運 - 林口A9站 (預計2016年通車) 位處桃園國際機場與台北市中心的中樞位置，不論搭乘巴士或者捷運約40分鐘內輕鬆可到達。,『MITSUI OUTLET PARK LINKOU』位於台北-桃園機場之間，交通便利，以悠閒渡假風格的「SOUTHERN TREASURE FOREST」概念打造，空間寬闊舒適，是您來台旅遊購物休閒的最佳選擇。 北台灣最大規模的複合式購物休閒設施，渡假中心般的寬敞空間，琳瑯滿目的精品名店，超優質的購物天堂絕對讓人流連忘返。嚴格挑選人氣美食進駐，款待饕客們的挑剔味蕾，同時設施內設有威秀影城、誠品生活、JASONS超市…多元完整的複合設施規劃，購物、美食、娛樂與生活一次到位，心滿意足。 台灣首座日本OUTLET PARK。打造獨家美食天堂 設施內精心嚴選2百多家知名歐美精品、台灣及日系人氣品牌，也進駐了台灣小籠包名店「點水樓」、知名台菜餐廳「欣葉小聚」等等，讓您在享受購物的快感之餘，還能享用台灣著名美食。 交通便利！！鄰近桃園機場捷運 - 林口A9站 (預計2016年通車) 位處桃園國際機場與台北市中心的中樞位置，不論搭乘巴士或者捷運約40分鐘內輕鬆可到達。,MITSUI OUTLET PARK LINKOU,MitsuiOutletParkLINKOU
6,2016/04/29 13:10:54,"捷運,淡水線,捷運淡水站,淡水,歷史古蹟",,25.17822,121.43077,平日(星期二至星期五)上午9：00至下午5：00 假日(星期六至星期日)上午9:00至下午6:00,【大眾運輸】　1.搭乘捷運至淡水捷運站下車後搭乘26號公車於滬尾砲台站下車步行可達。　　【自行開車】　1.從臺北走台2乙省道，進入淡水後，往中正路一段6巷前進，即可抵達。,251,新北市淡水區中正路一段6巷30號(和平公園內),886-2-26263350,一滴水紀念館取名由來：為紀念原起造者水上覺治之子水上勉先生一生承襲自日本「滴水」禪師的禪宗思想，崇尚珍惜萬物資源，就算只是微不足道的一滴水，也當物盡其用；另一則是為感念移築過程中所有的苦力群志工，他們透過實質的行動傳遞了無私奉獻的思想，縱使小如一滴水，終能匯聚能量完成此一跨國移築艱難工程，故取名為「一滴水紀念館」。,"一滴水紀念館取名由來：為紀念原起造者水上覺治之子水上勉先生一生承襲自日本「滴水」禪師的禪宗思想，崇尚珍惜萬物資源，就算只是微不足道的一滴水，也當物盡其用；另一則是為感念移築過程中所有的苦力群志工，他們透過實質的行動傳遞了無私奉獻的思想，縱使小如一滴水，終能匯聚能量完成此一跨國移築艱難工程，故取名為「一滴水紀念館」。 熱忱無私的跨國移築歷程：淡水一滴水紀念館係移築自日本福井縣大飯町一棟建於西元1915年間的日本古民家木造建築 Tamsui Itteki Memorial House，緣起於日本阪神及台灣921二個地震所連結的台日人民情誼，並透過多位台日熱心人士的努力，從民國94年拆解、至98年12月完成重建，歷經了約五年、多次輾轉遷移，跨越了3,000公里的旅途，遠從日本來到台灣。移築除延續成為台日交流的平台外，更是跨國人民間社區營造的精神堡壘，館內同時設置了「水上勉文庫」及「陳舜臣文庫」，以促進近代台日文學交流鳴放。 細嚐百年古民家建築語彙：這棟由日本文豪水上勉之父水上覺治親手建造的古民家建築，六百多根樑柱沒有使用一根釘子，榫頭銜接方式超過20餘種，展現出登峰造極的木造建築文化；而屋中大黑柱，即由門外算進第三根，最長也是銜接最多橫樑的直柱，在日本文化中代表著一家之主的父親角色，柱頂的「棟札」更是古民家的身分證明，它以紅布包裹的木牌記載著興建的年份與建築的「棟樑」（即師傅）姓名，而紅布外並纏繞著一雙上樑時剪斷夾腳草鞋，它意味著落地生根不再遷移之意，實著有趣又引人遐想。",一滴水紀念館,429132637143528 
7,2016/03/29 12:03:06,雙溪,,25.02089,121.87625,全天開放,【大眾運輸】　火車北迴線往花東-雙溪站下車，步行約2.8公里。　　【自行開車】　1. 國道三號→石碇交流道→左轉平溪→106縣道→十分寮→右轉雙溪→平雙隧道→雙溪中學→往福隆-102縣道，1.5公里處右轉。　2. 國道一號→八堵交流道-瑞八公路、侯牡公路（北37縣道）→雙溪中學→往福隆→102縣道，1.5公里處右轉。,227,新北市雙溪區丁蘭谷,886-2-24931111,丁蘭谷是雙溪一處結合自然美景與生態工法造景的風景名勝。位於魚行里丁子蘭坑，由雙溪往貢寮方向，沿一○二線公路走，約二公里處丁子蘭坑口轉入北三九號道即可到達，為一蜿蜒曲折，風景優美的溪谷，溪水清澈，深淺適度，兩邊清山高聳，林木密茂，清翠欲滴，林中尚有空谷幽蘭，是一處宜於戲水、捉蝦、烤肉、露營等活動的避暑勝地，每年炎夏，總是吸引各地遊客前來消暑、戲水、野餐。透過與自然環境的和諧共存，丁蘭谷展現了現代的最佳典範。,丁蘭谷是雙溪一處結合自然美景與生態工法造景的風景名勝。位於魚行里丁子蘭坑，由雙溪往貢寮方向，沿一○二線公路走，約二公里處丁子蘭坑口轉入北三九號道即可到達，為一蜿蜒曲折，風景優美的溪谷，溪水清澈，深淺適度，兩邊清山高聳，林木密茂，清翠欲滴，林中尚有空谷幽蘭，是一處宜於戲水、捉蝦、烤肉、露營等活動的避暑勝地，每年炎夏，總是吸引各地遊客前來消暑、戲水、野餐。透過與自然環境的和諧共存，丁蘭谷展現了現代的最佳典範。,丁蘭谷,246436655393895 
8,2016/06/16 11:54:48,"瑞芳,平溪深澳線車站",,25.10816,121.84381,依各店家營業時間為主,【大眾運輸】　1.瑞芳火車站搭乘基隆客運788、825(僅列假日行駛)、827、856至「九份」站下車　2.猴硐火車站搭乘基隆客運826(僅列假日行駛)至「九份」站下車　3.搭乘基隆客運1062至「九份老街」站下車　　【自行開車】 　1.國道1號→62快速公路→台2丁(瑞八公路)→續行102縣道→沿著崙頂路即可抵達(建議車停於隔頂停車場再步行而下),224,新北市瑞芳區九份,886-2-24063270 (九份遊客中心),九份以悲情城市這部電影名聞海內外，是臺灣知名度最高的國際觀光勝地之一。孤懸在山丘上的九份山城，以能鳥瞰基隆港山海險峙，霧雨迷濛的美景而聞名。九份老街為基山街，昔日稱為「暗街仔」，為九份主要街道，商店林立，夾道五花八門的小店很多，假日遊客蜂擁而至。另外，九份街道由「三橫一豎」等四條道路為主，三橫指的是基山街、輕便路、汽車路，一豎就是貫通這三條的豎崎路。在九份的巷弄中，可以多走樓梯，隨處繞繞，逛逛各式各樣的特色小店，發現九份山城之美。,九份以悲情城市這部電影名聞海內外，是臺灣知名度最高的國際觀光勝地之一。孤懸在山丘上的九份山城，以能鳥瞰基隆港山海險峙，霧雨迷濛的美景而聞名。九份老街為基山街，昔日稱為「暗街仔」，為九份主要街道，商店林立，夾道五花八門的小店很多，假日遊客蜂擁而至。另外，九份街道由「三橫一豎」等四條道路為主，三橫指的是基山街、輕便路、汽車路，一豎就是貫通這三條的豎崎路。在九份的巷弄中，可以多走樓梯，隨處繞繞，逛逛各式各樣的特色小店，發現九份山城之美。,九份老街,203079379732663 
9,2016/06/15 15:30:58,瑞芳,,25.11149,121.84423,06:00-17:00,【大眾運輸】　1.瑞芳火車站轉乘基隆客運1062→至「九份老街」站下車步行450公尺(約8分鐘)即可到達　1.瑞芳火車站轉乘基隆客運788→至「九份」站下車步行即可到達　　【自行開車】　1.國道1號→往瑞濱方向→台62線→下北濱海公路(台2線)交流道→往九濱公路(北35鄉道),224,新北市瑞芳區頌德里坑尾巷37號,886-2-24977895,該宮主祀關聖帝君，位於九份往瑞濱公路旁，因地勢較高，居高臨下可盡覽瑞濱海域美景。,該宮主祀關聖帝君，位於九份往瑞濱公路旁，因地勢較高，居高臨下可盡覽瑞濱海域美景。,九份明聖宮,441691155856095 
10,2016/06/15 16:04:42,瑞芳,,25.10794,121.84231,平日：10:00-18:00 假日：09:00-18:00,【大眾運輸】　1.搭乘基隆客運1062→至「九份老街」站下車往反方向步行即可到達　2.搭乘基隆客運788、827→至「大竿林」站步行即可到達　　【自行開車】　1.國道1號→台62線下瑞芳出口→台2丁線→續行102縣道即可抵達,224,新北市瑞芳區九份頌德里石碑巷66號,886-2-24966379,九份的採金盛況或許已經遙遠，但一夕致富的美夢，卻從不曾被人遺忘。在金礦博物館，我們可以看見一座題為「九番坑」的小小礦坑，一彎短狹的輕便鐵軌直鋪坑裡內外，軌上輪轉著一臺礦車，搭配坑內周遭所散置架掛的礦工燈帽、石臼、木材等，活似一座具體而微的礦區景致，向所有過往行旅，招搖著洞裡的乾坤。除了展示品之外，最引人入勝的當屬親自採金的過程，動手嘗試洗金的樂趣，一圓心中的淘金美夢。,九份的採金盛況或許已經遙遠，但一夕致富的美夢，卻從不曾被人遺忘。在金礦博物館，我們可以看見一座題為「九番坑」的小小礦坑，一彎短狹的輕便鐵軌直鋪坑裡內外，軌上輪轉著一臺礦車，搭配坑內周遭所散置架掛的礦工燈帽、石臼、木材等，活似一座具體而微的礦區景致，向所有過往行旅，招搖著洞裡的乾坤。除了展示品之外，最引人入勝的當屬親自採金的過程，動手嘗試洗金的樂趣，一圓心中的淘金美夢。,九份金礦博物館,672620686106982 
