景點名稱,景點描述,開放時間,縣市,行政區,地址,搭乘交通運輸,經度,緯度,FB ID,打卡數
雙溪生活水岸,從陽明山國家公園發源的雙溪，流經東吳大學之後，轉往公路北側，河濱綠地公園也由此綿延展開，河濱自行車道順勢闢建於左右兩岸，成為臺北市河川單車路往中，最貼近住宅區也維護得極為完善的短小精緻路徑。景色優美的雙溪河畔，引領平日生活繁忙的都市人，找到一條解放疲憊身心的綠色隧道，由雙溪左岸在銜接百齡橋右岸自行車道，百齡橋右岸河濱公園是玩橄欖球愛好者聚集之處，也常見足球隊伍相互較勁，單車族群也可加入這片青青草原，一路踏騎到承德橋下，順路造訪臺北市最後舢舨碼頭「三腳渡」。,開放空間,臺北市,士林區,臺北市  士林區士林橋,捷運站名：芝山站或士林站，往士林橋方向前進，很快就可以抵達腳踏車道入口處。 劍潭站轉乘68公車前往。1.公車：紅5、206、255、260、285等，於捷運士林站下車，再騎乘腳踏車進入。68於洲美里站下車，自越堤坡道進入。 2.汽車：中山北路往士林方向行駛，於福林橋下轉入腳踏車道入口，即可抵達。,121.523704,25.098516,256273967726841 ,1516
國立臺灣科學教育館,"臺灣科學教育館，為科學教育而設，適合所有大人小孩來參觀。地下室為兒童益智探索館，還有一個地底世界展，3, 4樓有生命科學、自然科學展，5, 6樓有物質科學、數學與地球科學展，7, 8樓為特展，可以看到世界性的科學展覽。館內設有各種體驗裝置，可與展品互動。 在這也可看電影，3D動感電影院是一個動感模擬影院，雙人式液壓動感座椅，與影像同步動作，有如坐在雲宵飛車或飛行座艙上，身歷其境。立體虛擬實境劇場，採用高解析立體影像效果，讓觀看影片更有臨場感。這是個寓教於樂的優良場所，歡迎大家來玩。",週六、週日、國定例假日、寒暑假09:00~18:00（17:00截止入場），非寒暑假之週二至週五09:00~17:00（16:00截止入場)，公休日：週一（國定假日及特定假日除外、寒暑假天天開館）,臺北市,士林區,臺北市  士林區士商路189號,捷運劍潭站(1號出口左方公車站牌) ? 轉搭公車至科學教育館站下車 ? 紅30(低地板公車)、41捷運士林站(1號出口過馬路) ?轉搭公車至科學教育館站下車 ?紅30(低地板公車)、紅12、620(低地板公車)公車：紅12、紅30(低地板公車)、41、620(低地板公車) 科學教育館站下車255區間車 529 士林高商站下國道巴士：中興巴士　[士林-中壢] 路線光華巴士(基隆客運)　[士林-基隆] 路線1.公車：41、紅3、紅12、紅30至天文館站（士林行政中心站），255、250、620、紅12至士林區行政中心站(士林高商站)，620、紅3、紅12至科教館站 2.車位：備有地下收費停車場424個,121.5159,25.0959,176192819098446 ,260618
科幻巨石陣 Stonehenge,巨石陣的巨大石塊，能精準地反射巨石陣內部的回音，並將其集中於巨石陣中心，形成音箱效應。此作品的概念藉巨石陣這個地球上的科學文明奇蹟，發展出現代感的流線造型。,,臺北市,士林區,臺北市  士林區士商路189號 國立臺灣科學教育館,,121.51601,25.095988,,0
慈諴宮,士林慈諴宮又稱士林媽祖廟，主祀天上聖母，位於遠近馳名的士林夜市之內。慈誠宮的前身為1796年（清嘉慶元年）業主何錦堂獻地所建的廟，當時稱為天后宮。1859年（咸豐9年），發生漳、泉械鬥，芝蘭街也遭波及火焚，天后宮亦付之一炬。舊街慘遭焚毀後，縉紳潘永清力主遷地另建新街，得到大多數街民的贊同，於是選擇在下樹林處建設新街，即今日的士林新街。同時在街區中央規劃為廟址，即現今慈諴宮所在地。 慈諴宮是一座採兩殿、兩廊、兩護龍平面配置的廟宇，一共形成5個天井，兩殿之間以過水廊連接護龍，為典型殿堂式閩南式廟宇。第一進的三川殿的屋頂，是以歇山重簷式的翹脊屋頂，亦即俗稱的「太子樓」形式，正殿中門的單蟠龍八角柱為光緒年間所造，左右麒麟堵則是1828年的作品。門上的彩繪宮娥及門神尉遲宮、秦淑寶，畫工相當的精細，是近代重要的匠師陳玉峰的作品。正殿之旁有一幅士林舊街的石壁，讓人憑此懷想昔日士林的街道面貌景色。,每日06:00-22:00,臺北市,士林區,臺北市  士林區大南路84號,捷運站名：劍潭站下車，往市林夜市方向步行5分鐘1.公車：109、203(中興)、216(副)、216(區間車)、220(區間車)、220(直達車)、220、260(東園)、260、260區(花鐘)、260區277、279、280(直達車)、310、612(區間車)、612、685、三芝-台北於銘傳大學站(劍潭站)下車 2.車位：捷運士林及劍潭站停車場及基河路停車場,121.524926,25.089562,mazu1796,3469
士林官邸公園,"士林官邸公園位於士林區中山北路五段與福林路口東南側，周圍為福山山系所環抱，佔地9.28公頃。其中的士林官邸於民國三十九年因先總統 蔣公居住於此而設立，因為總統居住於此的關係，附近嚴禁改建及新建，使得官邸公園能維持原有的自然景觀。官邸公園主要分為外花園、內花園、正房、栽種蘭花的溫室盆栽區、玫瑰園、凱歌堂、新蘭亭和慈雲亭。其中內花園屬中式庭園，其中有曲折的小橋流水、假山、奇石及一座紅色的中式涼亭。外花園區為西式庭園，區內設計成毛氈花壇，廣植花卉，美不勝收，是每年辦理菊展的主題園區。玫瑰園，育有200餘玫瑰品種，4,000多株玫瑰，盛開期在每年的11月至翌年4月間，色彩繽紛為蔣夫人最喜愛散步的地方。凱歌堂為蔣家人禮拜及受洗之處。新蘭亭建於民國三十九年，又名壽亭，為中式四角狀建築，是每年 蔣公作壽的地方，也是舉辦各類蘭花展覽之地。慈雲亭建於福山之上，為兩層樓方形亭，是老總統為懷念母親所建。士林官邸公園於民國八十五年正式開放民眾參觀，為提供更多更好的服務，也積極加強各項的整理規劃及建設，成為台北市區中另一處供民眾休憩的景點。圖片來源：臺北市政府工務局公園路燈工程管理處網站",周一至周五上午8時至下午5時，周六、周日及假日上午8時至晚上7時，六月至八月每日8時至晚上7時，全年無休。,臺北市,士林區,臺北市  士林區中山北路5段、福林路口東南側,捷運「士林站」文林路出口，過中山北路至福林路60號，約5分鐘)公車：1.台電北區分處站：203、220、260、280、285、304、310、606、612、646、中山幹線、休閒公車1092.小北街站：203、216、218、220、224、250、260、266、277、279、290、304、310、6063.士林官邸站：203、279、310。,121.527669,25.09218,220265511435961 ,49118
圓山水神社,圓山水神社位在捷運劍潭站對面，自來水公司事業處陽明分處旁邊，循著水泥階梯走，來到貯水池旁即可見到圓山水神社，其留有最初建造時的石燈籠、社名碑、淨手池，及一對鎮守神社的?犬。這是一座日據時期遺留下來的神社，格局大致保存完整，且位處交通便利的捷運站附近，不過因為較少人知道，所以鮮少有遊客來訪。裡面還有一挑高處是「圓山貯水池」，是「草山水道系統」的一個重要水利節點。儘管圓山水神社只與士林商圈相隔一條路，但卻是一片靜謐之地，散發出古樸、神秘而自在的氛圍。,全天開放,臺北市,士林區,臺北市  士林區中山北路5段82號之1(臺北自來水事業處陽明分處旁的後山坡),捷運劍潭站下車，穿越中山北路進入自來水事業處陽明分處， 循左側石階步道而上；如遇假日，可從陽明分處鐵門前左側小路上山，繞過一處小菜園即可接上石階步道，全程步行約10分鐘。,121.526317,25.083994,1694101207478450 ,72
天母白屋,天母白屋是美軍協防臺灣時期駐臺人員的宿舍，1950年代韓戰爆發時，美國認為臺灣是美國太平洋防線的一環，開始派遣第七艦隊協防臺灣海峽，防止中共對臺灣的侵略；國民政府為了安頓美軍在臺生活，在士林地區興建許多高級宿舍，以使美軍人員有完善的生活環境。這些宿舍外牆為雨淋板、黑色屋瓦，內設有壁爐、外露石壁龕且設有庭院，兼具美式、日式的建築風格。也因為當初的規劃，中山北路7段天母一帶為美軍眷舍，同時興建大批擁有寬敞庭院的獨棟木造洋房，因此天母地區充滿了濃濃的異國情調、舶來品店及美式酒館；碩果僅存的中山北路7段181巷23號市定古蹟天母白屋，也兼具歷史時代及地方記憶的意義。 歷經50多個年頭的天母白屋，經過不同居住者的更迭來去，不免有新建、增建等改建行為，也曾外借給電視台，作為偶像劇「愛情魔法師」片中女主角的家-忠南理髮廳，這麼珍貴的古蹟當然要去看看！,"週三-週日 09:00 – 18:00
假日延長至20:00",臺北市,士林區,臺北市  士林區中山北路7段181巷23號,捷運站名：搭捷淡水線士林站一號出口，轉乘公車220至天母站下車，沿著中山北路七段181巷直行，步行約10分鐘即達1.公車：220、220(直達車)、220(區間車)、224、267、535、601、685、中山幹線、紅19至天母站步行約5分鐘 2.車位：天母公園平面停車場 士林區天母公園旁,121.53067,25.12486,tianmuwhitehouse,238
七星山系-天母古道親山步道,天母古道親山步道天母古道親山步道穿越士林華岡地區的西北山坡，也是紗帽山南邊的鞍部，屬於早年魚路古道的後段，涵蓋華岡至天母間的數條步道，沿著大水管構築，潺潺溪水、原始林相，步行其間，讓人倍覺涼爽舒適。步道還可順遊經翠峰瀑布至猴洞產業道路的「翠峰步道」，夾峙在山間林蔭中，走起來特別涼爽舒適。天母古道曾經是金山與天母間重要的連絡要道，自從仰德大道開通後，這條早年的便道就成為名符其實的古道，近年更躍昇為熱門的登山路線，每逢假日遊人如織。天母古道生態景觀天母古道全區海拔高度從約300公尺至120公尺屬於臺灣低海拔亞熱帶闊葉林生態系。從大屯山鞍部吹來的東北季風帶來強風、雨水和低溫，使山腰古道迎風面，呈現暖溫帶闊葉林景致；相反的山腰避風面溪谷陰溼地環境則利於熱帶熱帶闊葉樹種生長，如熱帶板根、幹生花、纏勒等現象。天母古道雖海拔僅300公尺，卻有著熱帶、亞熱帶及暖溫帶闊葉林等不同生態之壓縮型生態系環境，相當難得而珍貴。◎特別提醒山友：步道下切翠峰瀑布的岔路附近，容易看見猴群出沒，當您看見猴群出現時，請不要任意餵食，以免猴兒為爭搶食物，不小心傷害到您喔！水管路步道水管路步道自日據時代便是保安林區的水源重地，不僅林相原始豐富，沿途築水而居的蕨類、姑婆芋等植物，更見茂盛而繁多。水管路係為接引第三水源地泉水到天母、士林一帶所闢建，步道前段爬坡路沿線已不見大水管，而步道後段水管就埋在步道底下。1930年間水管上陸續鋪設石板和水泥作為保護，水管路就因此而形成，水管路與步道在天母地區因山勢漸緩才分道揚鑣。目前步道入口處的三角埔發電廠是步道的起點，也是水管路的終點。入山林前先暖身自登山口出發，得先經過上千級石階的考驗，沿途有人遞熱茶熱湯免費試喝，才剛覺得熱，遮陽帽就出現了，若是口渴，林間還有果汁、茶，和甜美的地瓜湯在等著你。怪怪，還沒到陽明山呢，「在地」的蔬菜、竹筍、地瓜就已一字排開。 說是有一千多個階梯，就當作是進入山林前的「暖身」。首先映入眼簾是龍眼樹林，石階兩旁高大的龍眼樹，有的樹腰粗到要兩人合抱。從前，龍眼可是這裡的主要產業。再往上走，出現傳說中的黑色大水管，山路也突然變得陡直。 上坡路不免要費點體力，累了，中途和盡頭都有涼亭可以歇歇腳。站在中途涼亭旁回望，天母市區已在山腳下，小有成就感，即使有點喘吁吁也能繼續向前行；走到盡頭，如果天氣晴朗，還能遠眺林口台地，據說從這裡觀看台北夜景也很不錯喲。 終於走完這段陡坡，在蓄水池旁洗把臉擦擦汗，馬上就要進入林蔭坦途囉。 詩意的步道之旅造訪過水管路步道的人，多半都會愛上這段路。沿途林木蔽日，夏日走在如履平地的山路上倍覺舒適涼爽；冬季只聽見北風在溪谷中呼嘯，但不覺有刺骨寒風。這裡的路面平整，很適合駐足觀景。漫步林間小徑，視野由眺望天母、北投轉換至山林溪谷，山間梯田與裊裊煙霧構成如詩如畫的動人美景。 海拔僅300公尺高的水管路步道，因為自日據時代便是「水源重地」和「保安林區」，林相原始豐富，不但沿途可見許多逐水而居的蕨類、姑婆芋等指標性植物，生活其間的植物更高達三百餘種，可見生態環境受到很好的保護。 路旁山崖的石壁上時有石頭堆砌，從岩壁流出的山泉水流入圳溝，吸引不少溪蝦和蝌蚪在此聚集。步道後段還有一條小水溝，清澈的水流同樣來自山上湧出的泉水，裡面有許多沼蝦和螃蟹，更是多種蜻蜓及蛙類繁殖的場所。從秋季到次年春季時，不時可以聽到斯文豪氏赤蛙如鳥叫的鳴聲。清晨或黃昏時段，還有機會看到台灣獼猴在此出沒呢。 水道水　潺潺流 水管路步道源自於日據時期，為了接引第三水源地的泉水到天母、士林一帶所開闢。行走在沿山壁開鑿的山徑，已不見前段爬坡路上的大水管，其實後段水管就埋在步道底下。一九三○年代，水管之上陸續鋪設石板和泥土作為保護，水管路就此成形。接近天母地區，因為山勢漸展，水管與步道才「分道揚鑣」。 現在靠山崖的路上見到圳溝，石頭堆砌引導山泉流下的水溝彷彿是昔日藉水管引水的縮影；站在上坡路的水管旁，還可聽到大水管內急速的水流聲。 步道入口的三角埔發電廠是步道的起點，也是水管道的終點，儘管已功成身退，依然見證了這水道的今與昔。,,臺北市,士林區,臺北市  士林區中山北路7段232巷,捷運石牌站下車，轉乘紅15、紅19、224至「天母站」下車；捷運劍潭站下車，轉乘紅5、260至「山仔后站」下車，步行至愛富三街登山口；公車220、267、601、603至「天母站」下車，步行至中山北路七段,121.534101,25.126878,303246369691928 ,1508
五指山系-劍潭山親山步道,劍潭山海拔153公尺，位於臺北市士林區圓山風景區，是圓山飯店後山的北稜，也是臺北市最接近市中心的小山，沿著稜脊步道緩緩前行可抵達其他山岳，走起來幾乎是輕鬆自在，在交通便捷上佔有極大之優勢。劍潭山親山步道 登山口位於中山北路四段公車劍潭站旁，這裡曾是軍事管制區與保安林地，因此自然林相與生態植物保存的相當完整；步道兩旁許多人工栽種植被與經濟植物，讓步道充滿盎然的綠色魅力。這條步道已成為市民晨運健身的場所，如位於稜線上「老地方」，就是大家熟知的健身據點。步道沿途可以欣賞圓山飯店、基隆河河濱公園等景致，步道盡頭為大直的通北街165巷、北安路口處，是一條坡緩易行的郊山步道。劍潭山越到夜晚景越美 劍潭山親山步道夜景的人氣指數向來高居不下，當然自有其獨特之處，於制高點欣賞繁華的市景燈火夜色，不時還有飛機低空略過星空，總讓山友為之興奮、津津樂道，結合士林夜市美食小吃同遊，來到這裡夜間探路健走的民眾甚至比白天、晨間來的更多，這也是其越夜越美麗、熱鬧的原因吧！台北之心　坐擁山林  爬山真的一點也不難，尤其是從劍潭山入門。由捷運劍潭站出發，輕輕鬆鬆就能找到登山口；若是公車族，劍潭公車站旁就是入口處，拾級而上即能通達綠意山林。沿途放眼望去，步道兩旁盡是休憩空地或涼亭，走走停停，不一會兒就完成步道初體驗。 劍潭山是本書介紹的20條親山步道中，最接近市中心的小山，而你對它一定不陌生。無論是搭乘捷運淡水線往淡水方向，或是由高速公路進入台北市區，瞥見富麗堂皇的圓山飯店所在的山頭，那一片青翠連綿的山巒就是劍潭山。 由於這一帶以前是軍事管制區和保安林地，所以自然林相得以保持，密林遍佈整個步道。樹木不受人為干擾，恣意展放他們最美麗的姿態，棲息其間的物種也能悠遊自得。抬頭仰望，說不定就能看到松鼠跳躍林間，還有披著五色彩衣的五色鳥、翠綠小巧的綠繡眼也是這裡常見的鳥類。雖然軍事管制解除之後，原始山林因為人為開發起了變化，步道兩旁多見人工種植的園藝植物或經濟植物，綠意盎然的山徑步道魅力猶存。 現在的劍潭山已成為台北市民晨間健身運動的重要場地之一，稜線上的「老地方」是大家熟悉的健身據點。沿途各式各樣的早覺會、山友會、羽球社羅列步道兩旁，數量驚人蔚為奇觀，儼然是一座設於山間的都市型公園，又像是民眾的「戶外客廳」，銀髮族把這裡當作KTV俱樂部，有人在這忘情高歌唱卡拉OK，還有人打起麻將，當然聊天、泡茶更不在話下。「親民」之後的劍潭山可是熱鬧得不得了。 與天齊高　坐收美景  在歌聲簇擁中往前行是難忘的登山經驗，和步道上不絕於耳的蟬鳴聲相較，不知會是東軍勝出，還是西軍技高一籌？先撇開如此的奇觀不談，別忘了登高遠望四周的好風景。登劍潭山讓人津津樂道之處，其一是可以站在山上迎風觀賞飛機起降。 往實踐大學方向，有處山友稱之為「觀機坪」的觀景區，視野開闊幾無遮蔽物，絕對讓你過個過癮。如果往接近山頂的木棧道去，景觀可就更豐富。映入眼簾的視覺焦點是造型特殊的大直橋和醒目的臺北101高樓。大佳河濱公園全景在此一覽無遺，基隆河截彎取直之後形成的河濱公園綠地、每逢整點固定噴水半小時的「希望噴泉」、台北市首座釣竿式斜張橋「大直橋」，還有每年龍舟競賽的司令台和周邊廣場，駐足觀景瞬間心曠神怡。 當然，無論白天夜晚都是世人注目焦點的圓山大飯店，也是不可錯過的賞景好據點。這裡的夜景人氣指數一直高居不下，自有其獨特之處。站在後山山丘向前望可遠眺台北市區，往左方眺望河濱公園噴泉和綠色河堤，向右隱約可見基隆河波光粼粼，還有更遠處的觀音山。同時欣賞繁華的市景燈火和朦朧靜謐的夜色，若是恰好有飛機掠過星空，那可是別處沒得比的私房景觀。 走趟短短的路程，就能一飽如此炫目的豐富美景，你怎麼還捨得待在家中？,開放空間,臺北市,士林區,臺北市  士林區中山北路四段公車劍潭站旁,捷運站名：捷運劍潭站下車，步行至公車劍潭站登山口。1.公車:203、218、220、260、267、277、279、280、 285、308、310、606、612、665、902、紅3至「劍潭站」下車。 2.回程:下山後走到北安路，在「中央電台」公車站，搭聯營公車21、247(區間車)、287(區間車)、紅2各線，到捷運「圓山」站轉乘捷運回家。,121.525008,25.079154,169494946438710 ,11204
郭元益糕餅博物館,西元1708年，郭元益先祖自福建漳州渡海來台，於士林橋頭憑著一根扁擔，開創臺灣傳統糕餅歷史的新頁，經過四代的傳奇經營，使百年老店推陳出新，打響了「糕餅世家」的名號。經過百年淬煉，郭元益先生為了保存臺灣糕餅珍貴的歷史資產，創立了臺灣第一座糕餅博物館，陳列「糕餅世家」百年來的歷史，並介紹臺灣傳統糕餅業的演進以及臺灣傳統婚喪喜慶的禮俗，藉此讓世人對臺灣傳統糕餅有更深的認識及瞭解。2002年成立的郭元益糕餅博物館士林館，是繼2001年楊梅館之後設立的，位於郭元益百年老店的原址，郭元益企業總部的四、五樓。除了博物館陳列展示區介紹台灣糕餅一百年來的歷史演進和婚喪喜慶的傳統習俗外，設有「快樂烘培屋」，邀請參觀者親手做糕餅，體驗有趣的糕餅世界，另外還有「親子活動區」、「戶外親子遊憩區」讓大人小孩都能透過各活動及設施，對臺灣糕餅有更多的認識。,"每週一至週日9:00 – 17:30
公休日:每月第一個、第三個的星期一
春節休假時間：除夕，初一，初二",臺北市,士林區,臺北市  士林區文林路546號4樓,可依高架橋下前往或經文林路與中正路口之天橋，往士林橋方向前行約200公尺，抵達本館。1.公車:226、紅19、665、616、224、290、223、302、601、216、218、280、308、508、博愛公車  至士林站，往士林橋方向前行約100公尺可抵達本館。2.紅3、紅5、紅10、紅12、紅15、紅30、111(休閒公車)、277、304承德線、305重慶線、303、620、255、206、216 至士林捷運站，可依高架橋下前往或經文林路與中正路口之天橋，往士林橋方向前行約200公尺，抵達本館。3.紅15、紅12、220、220區、267、279、285、612、646、902、中山幹線  至福林橋，前往五段699巷，沿巷直走即可抵達本館,121.52416,25.097456,134345463302398 ,11406
